FIELD,P/F,WELL,DATE,WHP,WHT,Tr,Ɣw,Pr,Pr-Pb,Reservoir,Tubing_type,WC,I.GAS,D/S,BFPD,BOPD
October,G,G-10,20-Feb-06,105,110,245,1.1,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),30,2.9,506,2376,1663
October,G,G-10,21-Feb-06,93,110,245,1.1,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),33,2.9,495,1437,963
October,G,G-10,21-Feb-06,93,110,245,1.1,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),33,2.9,495,2322,1556
October,G,G-10,22-Feb-06,110,110,245,1.1,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),32,2.9,522,1347,916
October,G,G-10,22-Feb-06,110,110,245,1.1,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),32,2.9,522,2245,1527
October,G,G-10,6-Sep-07,110,92,245,1.1,2731,1048,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),70,2,451,1604,481
October,G,G-10,21-Jun-08,125,89,245,1.1,2747,1064,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),80,2,496,1296,259
October,G,G-10,12-Jul-08,118,92,245,1.1,2748,1065,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),84,1.9,463,1349,216
October,G,G-10,14-Jul-08,120,93,245,1.1,2748,1065,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),83,1.9,486,1645,280
October,G,G-10,20-Jul-08,110,95,245,1.1,2749,1066,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),84,1.9,470,1335,214
October,G,G-10,15-Jun-21,100,104,260,1.1,2000,49,Nezzazat October,Normal 4.5 short*3.5,0.7,1.5,640,1148,1140
October,G,G-10,16-Jun-21,100,100,260,1.1,2000,49,Nezzazat October,Normal 4.5 short*3.5,0.7,1.5,635,990,983
October,G,G-10,19-Jun-21,88,100,260,1.1,2000,49,Nezzazat October,Normal 4.5 short*3.5,1,1.5,630,986,976
October,G,G-10,3-Jul-21,100,100,260,1.1,2000,49,Nezzazat October,Normal 4.5 short*3.5,1,1.5,555,644,638
October,G,G-10,4-Jul-21,95,100,260,1.1,2000,49,Nezzazat October,Normal 4.5 short*3.5,1,1.5,550,653,647
October,G,G-11 ST1,13-Dec-05,130,170,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),87,4.2,1383,3359,437
October,G,G-11 ST1,20-Dec-05,135,170,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),87,4.3,1383,3322,432
October,G,G-11 ST1,22-Dec-05,110,169,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),85,4.3,1390,3335,500
October,G,G-11 ST1,2-Apr-06,128,165,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,4.5,1373,3895,467
October,G,G-11 ST1,3-Apr-06,135,165,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4.5,1365,4556,501
October,G,G-11 ST1,16-Apr-06,140,188,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),90,4,1370,5222,522
October,G,G-11 ST1,16-Apr-06,140,188,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),90,4,1370,5468,547
October,G,G-11 ST1,17-Apr-06,128,188,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4,1367,5151,567
October,G,G-11 ST1,17-Apr-06,128,188,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4,1367,5383,592
October,G,G-11 ST1,18-May-06,155,173,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,4,1348,4479,537
October,G,G-11 ST1,20-May-06,125,189,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4,1338,5623,619
October,G,G-11 ST1,21-May-06,133,190,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),90,4,1350,5640,564
October,G,G-11 ST1,11-Jul-06,140,190,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),90,3.5,1265,5330,533
October,G,G-11 ST1,12-Jul-06,110,190,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),90,3.5,1122,4750,475
October,G,G-11 ST1,5-Dec-06,140,184,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,4.7,1180,5641,677
October,G,G-11 ST1,5-Dec-06,140,184,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),90,4.9,1203,5770,577
October,G,G-11 ST1,17-Jan-07,130,163,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),90,4.6,1173,3718,372
October,G,G-11 ST1,17-Jan-07,135,163,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),90,4.6,1173,3860,386
October,G,G-11 ST1,19-Jan-07,133,162,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4.6,1168,3883,427
October,G,G-11 ST1,20-Jan-07,125,162,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4.5,1163,3795,417
October,G,G-11 ST1,20-Jan-07,135,161,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4.6,1175,3884,427
October,G,G-11 ST1,21-Jan-07,125,186,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4.5,997,5038,554
October,G,G-11 ST1,22-Jan-07,125,165,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4.5,1180,3949,434
October,G,G-11 ST1,16-Feb-07,135,184,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,4.8,1197,5622,675
October,G,G-11 ST1,17-Feb-07,135,184,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4.8,1197,5770,635
October,G,G-11 ST1,18-Feb-07,135,180,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,4.8,1199,5984,718
October,G,G-11 ST1,20-Feb-07,115,185,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4.8,1195,5479,603
October,G,G-11 ST1,20-Feb-07,138,184,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,4.8,1194,5738,689
October,G,G-11 ST1,17-Apr-07,140,185,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,4.9,1181,4727,567
October,G,G-11 ST1,18-Apr-07,140,185,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4.9,1183,4857,534
October,G,G-11 ST1,19-Apr-07,140,185,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,4.8,1189,4548,546
October,G,G-11 ST1,20-Apr-07,138,186,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4.9,1180,4485,493
October,G,G-11 ST1,22-Jun-07,135,187,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,4.4,1137,5319,638
October,G,G-11 ST1,23-Jun-07,135,186,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),87,4.4,1137,5531,719
October,G,G-11 ST1,24-Jun-07,135,188,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,4.4,1135,5369,644
October,G,G-11 ST1,12-Jul-07,130,185,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4,1250,5292,582
October,G,G-11 ST1,13-Jul-07,135,186,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,4.5,1170,5450,654
October,G,G-11 ST1,14-Jul-07,140,187,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,4.5,1160,5461,655
October,G,G-11 ST1,15-Jul-07,135,186,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4.5,1172,5586,614
October,G,G-11 ST1,22-Sep-07,130,155,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),70,4.8,1232,4351,1305
October,G,G-11 ST1,23-Sep-07,140,153,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),70,4.8,1227,3799,1140
October,G,G-11 ST1,27-Sep-07,138,192,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),69,5,1263,4788,1484
October,G,G-11 ST1,28-Sep-07,150,192,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),64,5,1251,4752,1711
October,G,G-11 ST1,9-Oct-07,135,189,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),71,4,1099,5225,1515
October,G,G-11 ST1,10-Oct-07,135,190,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),71,4,1106,5394,1564
October,G,G-11 ST1,11-Oct-07,135,190,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),70,4,1104,5293,1588
October,G,G-11 ST1,12-Oct-07,135,190,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),70,4,1100,5658,1697
October,G,G-11 ST1,13-Oct-07,135,190,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),70,4,1104,5498,1649
October,G,G-11 ST1,14-Oct-07,135,190,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),70,4,1102,5331,1599
October,G,G-11 ST1,13-Nov-07,160,185,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),73,4.9,1121,5518,1490
October,G,G-11 ST1,1-Dec-07,135,163,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),68,5,1120,4823,1543
October,G,G-11 ST1,2-Dec-07,135,164,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),69,5,1120,4453,1380
October,G,G-11 ST1,6-Dec-07,150,163,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),80,5,1100,4354,871
October,G,G-11 ST1,7-Dec-07,105,181,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),65,5,1071,4468,1564
October,G,G-11 ST1,13-Jan-08,135,165,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),86,5.1,1115,3637,509
October,G,G-11 ST1,31-Jan-08,125,163,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),80,5,1095,3760,752
October,G,G-11 ST1,3-Jun-08,148,170,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,5.5,1066,4036,484
October,G,G-11 ST1,5-Jun-08,125,168,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),87,5.5,1053,4021,523
October,G,G-11 ST1,7-Jun-08,143,179,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),84,5.8,1079,5217,835
October,G,G-11 ST1,13-Jun-08,135,168,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),87,4,963,4307,560
October,G,G-11 ST1,14-Jun-08,133,169,246,1.09,2700,1017,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),85,4,1038,3546,532
October,G,G-11 ST1,11-Aug-08,130,160,246,1.09,2701,1018,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4,952,3107,342
October,G,G-11 ST1,12-Aug-08,130,182,246,1.09,2701,1018,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4,922,4565,502
October,G,G-11 ST1,13-Aug-08,123,182,246,1.09,2701,1018,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4,898,4609,507
October,G,G-11 ST1,19-Oct-08,135,178,246,1.09,2703,1020,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),94,5.5,998,4951,297
October,G,G-11 ST1,21-Oct-08,140,179,246,1.09,2703,1020,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),95,5.5,1006,4652,233
October,G,G-11 ST1,22-Oct-08,140,179,246,1.09,2703,1020,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),94,5.5,992,4558,273
October,G,G-11 ST1,24-Oct-08,133,179,246,1.09,2703,1020,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),77,5.5,971,5059,1164
October,G,G-11 ST1,25-Oct-08,133,176,246,1.09,2703,1020,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),81,5.5,973,4938,938
October,G,G-11 ST1,17-Feb-09,128,160,246,1.09,2705,1022,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,4.8,900,3724,447
October,G,G-11 ST1,26-Feb-09,155,156,246,1.09,2705,1022,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),87,5.5,942,3755,488
October,G,G-11 ST1,27-Feb-09,145,150,246,1.09,2705,1022,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),87,5.5,930,3907,508
October,G,G-11 ST1,28-Feb-09,160,155,246,1.09,2705,1022,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),86,5.5,915,3866,541
October,G,G-11 ST1,1-Mar-09,125,156,246,1.09,2705,1022,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,5.5,920,3539,425
October,G,G-11 ST1,2-Mar-09,158,173,246,1.09,2705,1022,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),90,5.5,930,4960,496
October,G,G-11 ST1,3-Mar-09,130,173,246,1.09,2705,1022,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),90,5.5,931,4689,469
October,G,G-11 ST1,16-Mar-09,145,159,246,1.09,2705,1022,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),90,5.8,950,3967,397
October,G,G-11 ST1,17-Mar-09,175,161,246,1.09,2706,1023,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),90,5.8,958,4178,418
October,G,G-11 ST1,19-Mar-09,150,172,246,1.09,2706,1023,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),95,6,951,4567,228
October,G,G-11 ST1,21-Mar-09,165,172,246,1.09,2706,1023,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),92,6,990,5022,402
October,G,G-11 ST1,23-Mar-09,155,172,246,1.09,2706,1023,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),91,6,935,4774,430
October,G,G-11 ST1,11-Apr-09,135,179,246,1.09,2706,1023,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,4.5,861,4983,548
October,G,G-11 ST1,12-Apr-09,125,178,246,1.09,2706,1023,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,4.5,862,4656,559
October,G,G-11 ST1,14-Jun-09,140,175,246,1.09,2707,1024,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),92,5.9,911,5062,405
October,G,G-11 ST1,15-Jun-09,120,175,246,1.09,2707,1024,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),94,5.9,945,5053,303
October,G,G-11 ST1,16-Jun-09,120,175,246,1.09,2707,1024,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),94,5.9,910,5205,312
October,G,G-11 ST1,30-Jun-09,118,175,246,1.09,2708,1025,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),94,5.1,918,5003,300
October,G,G-11 ST1,1-Jul-09,115,177,246,1.09,2708,1025,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),94,5.7,891,5038,302
October,G,G-11 ST1,2-Jul-09,120,176,246,1.09,2708,1025,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),95,5.6,921,5089,254
October,G,G-11 ST1,3-Jul-09,123,175,246,1.09,2708,1025,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),91,5.6,890,4984,449
October,G,G-11 ST1,4-Jul-09,123,174,246,1.09,2708,1025,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),95,5.7,920,4795,240
October,G,G-11 ST1,5-Jul-09,120,175,246,1.09,2708,1025,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),95,5.7,927,4903,245
October,G,G-11 ST1,6-Jul-09,120,174,246,1.09,2708,1025,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),94,5.7,933,4969,298
October,G,G-11 ST1,16-Jul-09,125,174,246,1.09,2708,1025,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),95,5.4,934,4016,201
October,G,G-11 ST1,10-Aug-09,130,161,246,1.09,2708,1025,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),87,4,840,3417,444
October,G,G-11 ST1,11-Aug-09,130,162,246,1.09,2708,1025,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),87,5,866,4127,537
October,G,G-11 ST1,13-Aug-09,130,165,246,1.09,2708,1025,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),87,4.9,860,3804,495
October,G,G-11 ST1,14-Aug-09,145,151,246,1.09,2708,1025,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,5,856,4983,598
October,G,G-11 ST1,15-Aug-09,128,177,246,1.09,2708,1025,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,5,717,5002,550
October,G,G-11 ST1,16-Aug-09,130,178,246,1.09,2708,1025,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,5,867,5178,621
October,G,G-11 ST1,17-Aug-09,133,178,246,1.09,2708,1025,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,5,860,5114,563
October,G,G-11 ST1,18-Aug-09,130,178,246,1.09,2709,1026,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),86,5,870,4877,683
October,G,G-11 ST1,19-Aug-09,130,177,246,1.09,2709,1026,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,5,862,4919,590
October,G,G-11 ST1,20-Aug-09,125,177,246,1.09,2709,1026,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,5,857,4908,589
October,G,G-11 ST1,21-Aug-09,125,177,246,1.09,2709,1026,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,5,856,5128,564
October,G,G-11 ST1,22-Aug-09,135,179,246,1.09,2709,1026,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,5,858,4979,548
October,G,G-11 ST1,23-Aug-09,135,171,246,1.09,2709,1026,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),87,4.5,844,3546,461
October,G,G-11 ST1,24-Aug-09,133,175,246,1.09,2709,1026,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),87,5.5,881,5207,677
October,G,G-11 ST1,14-Sep-09,135,172,246,1.09,2709,1026,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),92,5.5,892,5040,403
October,G,G-11 ST1,15-Sep-09,135,177,246,1.09,2709,1026,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),89,5.5,892,4683,515
October,G,G-11 ST1,16-Sep-09,135,164,246,1.09,2709,1026,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),87,5.5,880,3801,494
October,G,G-11 ST1,4-Oct-09,120,155,246,1.09,2709,1026,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),87,5.4,857,3809,495
October,G,G-11 ST1,5-Oct-09,120,160,246,1.09,2709,1026,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,5.5,878,3849,462
October,G,G-11 ST1,6-Oct-09,120,176,246,1.09,2709,1026,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),88,5.5,874,4769,572
October,G,G-11 ST1,5-Nov-09,130,147,246,1.09,2710,1027,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),69,3.3,865,3357,1041
October,G,G-11 ST1,8-Nov-09,105,140,246,1.09,2710,1027,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),78,3.1,858,3570,785
October,G,G-11 ST1,9-Nov-09,125,135,246,1.09,2710,1027,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),66,3.2,859,3291,1119
October,G,G-11 ST1,10-Nov-09,113,140,246,1.09,2710,1027,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),75,3.3,859,3723,931
October,G,G-11 ST1,12-Nov-09,130,138,246,1.09,2710,1027,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),77,3.5,856,3420,787
October,G,G-11 ST1,13-Nov-09,130,138,246,1.09,2710,1027,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),80,4.5,906,3984,797
October,G,G-11 ST1,14-Nov-09,143,138,246,1.09,2710,1027,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),83,4.3,916,4046,688
October,G,G-11 ST1,15-Nov-09,135,140,246,1.09,2710,1027,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),84,4.5,871,3766,603
October,G,G-11 ST1,16-Nov-09,140,140,246,1.09,2710,1027,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),82,4.4,861,3606,649
October,G,G-11 ST1,17-Nov-09,143,138,246,1.09,2710,1027,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),84,4.4,863,4178,668
October,G,G-11 ST1,18-Nov-09,150,144,246,1.09,2710,1027,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),85,4.4,976,3999,600
October,G,G-11 ST1,19-Nov-09,125,153,246,1.09,2710,1027,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),82,4.5,852,3932,708
October,G,G-11 ST1,17-Dec-09,105,153,246,1.09,2711,1028,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),83,4.8,815,4104,698
October,G,G-11 ST1,18-Mar-10,130,152,246,1.09,2712,1029,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),74,3,791,4301,1118
October,G,G-11 ST1,22-Mar-10,130,152,246,1.09,2713,1030,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),86,3,832,3174,444
October,G,G-11 ST1,9-Jan-11,130,150,246,1.09,2718,1035,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),81,5,847,3508,667
October,G,G-12,10-Jul-04,120,108,250,1.112,2632,949,Nubia + Nezzazat October,Normal 4.5 long*3.5,43,2.4,1143,1692,964
October,G,G-12,15-Jul-04,123,110,250,1.112,2632,949,Nubia + Nezzazat October,Normal 4.5 long*3.5,43,2.4,1119,1787,1019
October,G,G-12,5-Nov-07,195,95,250,1.112,2666,983,Nubia + Nezzazat October,Normal 4.5 long*3.5,74,2,1143,1209,314
October,G,G-12,28-Nov-19,108,125,250,1.112,2625,942,Nubia + Nezzazat October,Normal 4.5 long*3.5,90,2.8,848,1660,166
October,G,G-13,29-Dec-08,123,139,247,1.1,2750,1067,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),79,3.5,1328,2727,573
October,G,G-13,30-Dec-08,145,151,247,1.1,2750,1067,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),78,3.5,1337,3194,703
October,G,G-13,31-Dec-08,133,137,247,1.1,2750,1067,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),87,3.5,1328,3072,399
October,G,G-13,9-Oct-09,120,113,247,1.1,2800,1117,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),86,4.5,1243,1277,179
October,G,G-13,10-Oct-09,115,93,247,1.1,2800,1117,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),83,3.5,1250,1038,176
October,G,G-13,11-Oct-09,103,85,247,1.1,2800,1117,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),85,3.5,1168,838,126
October,G,G-13,12-Aug-10,175,103,247,1.1,2800,1117,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),90,3.6,1300,1074,107
October,G,G-13,16-Apr-16,113,145,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),42,3.3,1100,2394,1389
October,G,G-13,3-Jun-16,125,143,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),54,3.5,1080,2266,1042
October,G,G-13,5-Jul-16,120,140,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),55,3.5,1100,2131,959
October,G,G-13,6-Nov-16,100,141,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),64,3.5,920,2020,727
October,G,G-13,21-Jun-17,103,141,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),65,3.3,1025,2021,707
October,G,G-13,6-Aug-17,98,140,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),65,4.1,1060,1977,692
October,G,G-13,16-Feb-18,100,137,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),65,3.8,991,1980,693
October,G,G-13,26-Jun-18,98,137,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),68,3.4,990,1773,567
October,G,G-13,13-Jul-19,95,130,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),75,3.6,1001,1652,413
October,G,G-13,29-Sep-19,100,130,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),75,3.5,977,1697,424
October,G,G-13,10-Oct-19,100,130,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),75,3.5,990,1522,381
October,G,G-13,9-Nov-19,100,133,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),75,3.4,1020,1526,382
October,G,G-13,1-Jan-20,120,118,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),75,3,1025,1280,320
October,G,G-13,3-Jan-20,115,118,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),75,3.8,1031,1106,277
October,G,G-13,26-Jun-20,108,131,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),64,2.8,810,1350,486
October,G,G-13,12-Apr-21,135,133,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),80,3.5,1000,1816,363
October,G,G-13,13-Apr-21,140,130,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),72,3.5,1040,1601,448
October,G,G-13,14-Apr-21,135,120,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),53,3.6,985,1093,513
October,G,G-13,26-May-21,110,124,247,1.1,2700,1017,Nubia + Nezzazat October,Big bore 5.5 short*(4.5*3.5 joints),75,3,880,1119,280
October,G,G-4 ST1,1-Mar-04,178,138,254,1.11,2608,925,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),79,3.7,1268,2832,595
October,G,G-4 ST1,6-Mar-04,180,135,254,1.11,2606,923,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),75,3.6,1260,2525,631
October,G,G-4 ST1,7-Mar-04,175,138,254,1.11,2606,923,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),78,3.7,1262,2580,568
October,G,G-4 ST1,8-Mar-04,175,139,254,1.11,2605,922,Nubia October,Big bore 5.5 short*(4.5*3.5 joints),77.5,3.7,1262,2827,636
